N, t_def, p_def, t_avx2, p_avx2, t_avx2rsqrt, p_avx2rsqrt, t_avx512, p_avx512, t_avx512rsqrt, p_avx512rsqrt, t_avx512rsqrt4i, p_avx512rsqrt4i,t_full,p_full,t_full_rsqrt,p_full_rsqrt,p_avx2_max,p_avx512_max,p_avx512rsqrt_max,p_avx512rsqrt4i_max,p_full_rsqrt8i_max
7168,0.217682,236.000572,0.050565,1015.97075,0.053847,954.063737,0.059907,857.552649,0.033751,1522.130791,0.029819,1722.823415,0.099747,515.033906,0.044602,1151.810227,1040,880,1530,1717,1257
7296,0.226297,235.196567,0.052659,1010.726767,0.055908,951.992136,0.06097,872.95514,0.035647,1493.081127,0.0311,1711.407903,0.103315,515.16471,0.046183,1152.464084,1040,880,1530,1717,1257
7424,0.235284,234.220294,0.054188,1016.975475,0.057778,953.794372,0.064218,858.145908,0.036202,1522.246319,0.031957,1724.458308,0.106878,515.617768,0.048047,1146.958944,1040,880,1530,1717,1257
7552,0.242609,235.049437,0.056295,1012.973816,0.060048,949.654605,0.065588,869.44479,0.037568,1517.933086,0.033184,1718.446343,0.11064,515.411653,0.049459,1152.976449,1040,880,1530,1717,1257
7680,0.250802,235.144902,0.057998,1016.835932,0.061884,952.991284,0.068713,858.27212,0.038719,1523.16228,0.034204,1724.212203,0.114517,514.987517,0.051204,1151.748903,1040,880,1530,1717,1257
7808,0.258071,236.202774,0.060208,1012.437249,0.064369,946.99881,0.069351,878.963913,0.040802,1493.977283,0.035618,1711.396578,0.118322,515.180607,0.05293,1151.651545,1040,880,1530,1717,1257
7936,0.268716,234.344778,0.062056,1014.75818,0.066095,952.758149,0.073203,860.235139,0.041337,1523.381112,0.036487,1725.891422,0.122101,515.737086,0.054929,1146.43526,1040,880,1530,1717,1257
8064,0.279591,232.553909,0.064085,1014.595994,0.068074,955.132586,0.074999,866.947979,0.04282,1518.452692,0.037828,1718.822231,0.126141,515.456018,0.056455,1151.721316,1040,880,1530,1717,1257
8192,0.316875,211.757411,0.066667,1006.502681,0.071916,933.036074,0.078618,853.500507,0.044841,1496.414743,0.039399,1703.112655,0.130168,515.491644,0.062998,1065.124065,1040,880,1530,1717,1257
8320,0.294668,234.888113,0.06844,1011.3132,0.072786,950.925307,0.079184,874.087912,0.046287,1495.308242,0.040383,1713.942698,0.134463,514.744804,0.060071,1152.202175,1040,880,1530,1717,1257
